"start_station_name","start_station_total"
Kingsbury St & Kinzie St,23602
Clark St & Elm St,21561
Clinton St & Washington Blvd,20890
Wells St & Concord Ln,19935
Loomis St & Lexington St,19813
University Ave & 57th St,19131
Ellis Ave & 60th St,18858
Clinton St & Madison St,18382
Wells St & Elm St,18043
Canal St & Adams St,16808
