"start_station_name","start_lat","start_lng","total_trips"
Ravenswood Ave & Lawrence Ave,41.96909402882944,-87.6742364234151,15156
Clark St & Lake St,41.88598096779012,-87.63092921041901,15084
Canal St & Madison St,41.882232743739394,-87.63980623524581,14997
State St & Kinzie St,41.88916042917573,-87.62717870880198,14950
Franklin St & Monroe St,41.88019926966574,-87.6353352846335,14833
Pine Grove Ave & Irving Park Rd,41.954368414639596,-87.64805855668328,14691
Broadway & Sheridan Rd,41.952787885819816,-87.65000627237625,14548
McClurg Ct & Erie St,41.894505928084385,-87.61799277200325,14525
Sedgwick St & North Ave,41.91136917139785,-87.63868382206034,14413
Rush St & Superior St,41.895745669536915,-87.62601115955863,14397
Franklin St & Lake St,41.88583592423926,-87.63548983053596,14373
Mies van der Rohe Way & Chicago Ave,41.897006853050776,-87.62174413403518,14341
Mies van der Rohe Way & Chestnut St,41.89857785069056,-87.62208445954103,14332
Clark St & Winnemac Ave,41.97333937478355,-87.66784171537127,14279
LaSalle St & Jackson Blvd,41.87811286231822,-87.6318624808628,14160
Clark St & Randolph St,41.88458233604326,-87.63180406744031,14141
Wabash Ave & 9th St,41.87074070988532,-87.62574286153288,13980
Milwaukee Ave & Grand Ave,41.89158737658526,-87.64833560319065,13976
Sheridan Rd & Montrose Ave,41.96162878413776,-87.65463971769026,13917
Lincoln Ave & Diversey Pkwy,41.932201799777644,-87.65866415690603,13737
Sedgwick St & Webster Ave,41.92216836613146,-87.63891667224208,13617
Canal St & Monroe St,41.88168088288515,-87.63950862446104,13580
May St & Taylor St,41.86947459531267,-87.65547610188217,13569
Burling St & Diversey Pkwy,41.933123372988604,-87.64776584641405,13448
Wood St & Milwaukee Ave,41.90764715693224,-87.67254319373218,13162
Clarendon Ave & Gordon Ter,41.957835886523206,-87.64950609288324,13126
Racine Ave & Belmont Ave,41.939707053011034,-87.65887036950436,13092
Franklin St & Illinois St,41.89101345522623,-87.63546455500422,13012
Sheffield Ave & Kingsbury St,41.91055635723827,-87.65313958457047,12908
Sedgwick St & Huron St,41.894660601965676,-87.63837659024212,12862
Aberdeen St & Jackson Blvd,41.87773616040381,-87.65481262305795,12734
"900 W Harrison St",41.87475214227763,-87.64980753983856,12691
Michigan Ave & Jackson Blvd,41.877840187899714,-87.624084475971,12600
Clark St & Grace St,41.95081398823837,-87.65917926333118,12568
Southport Ave & Wellington Ave,41.93570458992575,-87.6636124992047,12444
Canal St & Jackson Blvd,41.877268399041526,-87.63941361174702,12290
Racine Ave & Fullerton Ave,41.925581965276365,-87.65844621372244,12282
Lakefront Trail & Bryn Mawr Ave,41.98403608969665,-87.6522996207274,12194
Wabash Ave & Wacker Pl,41.88686188267473,-87.62608120017882,12192
Kedzie Ave & Milwaukee Ave,41.9295846865255,-87.70789375853575,12157
Bissell St & Armitage Ave*,41.918356177455884,-87.65220298568644,11991
Greenview Ave & Fullerton Ave,41.92536575958227,-87.66581754972238,11926
Clark St & North Ave,41.91196160752208,-87.6319860268501,11897
Lincoln Park Conservatory,41.923967948184604,-87.6358463139668,11876
Southport Ave & Belmont Ave,41.939447633521944,-87.66376973281962,11782
Ogden Ave & Chicago Ave,41.89636296740367,-87.65407358718016,11640
Sangamon St & Lake St,41.88581959152375,-87.65105011125469,11567
LaSalle Dr & Huron St,41.89481450943929,-87.63232965037558,11488
Milwaukee Ave & Wabansia Ave,41.91261362878347,-87.68138846595296,11467
Field Blvd & South Water St,41.886269322006825,-87.61751456752943,11425
Desplaines St & Jackson Blvd,41.87812118699008,-87.64404099253744,11391
Honore St & Division St,41.90312270977175,-87.67389133315869,11385
Cityfront Plaza Dr & Pioneer Ct,41.890521062364925,-87.62206258804503,11362
Larrabee St & Division St,41.90350244684336,-87.64334503260466,11352
Ritchie Ct & Banks St,41.90685725052654,-87.62619728246823,11329
