"end_station_name","end_station_total"
Kingsbury St & Kinzie St,23450
Clark St & Elm St,21887
Clinton St & Washington Blvd,21830
Wells St & Concord Ln,20801
Loomis St & Lexington St,20060
University Ave & 57th St,19648
Clinton St & Madison St,18981
Ellis Ave & 60th St,18665
Wells St & Elm St,18174
Broadway & Barry Ave,17298
