"start_station_name","member_casual","start_lat","start_lng","total_trips"
University Ave & 57th St,casual,41.791478099456576,-87.5998836948638,5629
Clark St & North Ave,casual,41.911967799787206,-87.63198415065037,5627
Clark St & Grace St,casual,41.95082216133057,-87.65918257586986,5617
Franklin St & Jackson Blvd,casual,41.87774703061545,-87.6352953442963,5603
Lakefront Trail & Bryn Mawr Ave,casual,41.98403369425026,-87.65230438620937,5473
Milwaukee Ave & Grand Ave,casual,41.89158884811823,-87.64833163586601,5457
Field Blvd & South Water St,casual,41.88624051956063,-87.61750799870718,5381
Clark St & Winnemac Ave,casual,41.973346442656705,-87.66783593803098,5373
Orleans St & Merchandise Mart Plaza,casual,41.88810967173222,-87.63664963739771,5332
Sedgwick St & Webster Ave,casual,41.92217343931369,-87.63891921823146,5276
Cityfront Plaza Dr & Pioneer Ct,casual,41.890529914745116,-87.62206657237287,5262
Clark St & Lake St,casual,41.88597505906215,-87.63092412458235,5262
California Ave & Milwaukee Ave,casual,41.92268852758426,-87.69714438607048,5215
State St & Kinzie St,casual,41.8891488563483,-87.62717561166384,5212
Damen Ave & Cortland St,casual,41.91598153446092,-87.67732445095218,5142
Broadway & Sheridan Rd,casual,41.952813240147535,-87.65000982574827,5141
Franklin St & Chicago Ave,casual,41.89677705252373,-87.63571493907783,5116
Ellis Ave & 60th St,casual,41.78510398544247,-87.60107625686277,5087
Pine Grove Ave & Irving Park Rd,casual,41.954377848196806,-87.64805650801429,5074
Lincoln Ave & Diversey Pkwy,casual,41.93220491551825,-87.65866381356753,5070
Mies van der Rohe Way & Chicago Ave,casual,41.89701854902378,-87.62173530699839,5062
Dearborn St & Monroe St,casual,41.88109630319003,-87.62967051857649,5042
Rush St & Superior St,casual,41.895753590846525,-87.62602371467403,5035
Kingsbury St & Erie St,casual,41.89384005633463,-87.6417475652286,5027
Wood St & Milwaukee Ave,casual,41.907654148352464,-87.67254810521172,4976
Southport Ave & Wrightwood Ave,casual,41.92878514151057,-87.66389622886231,4947
Michigan Ave & Pearson St,casual,41.89750782578719,-87.62352827682254,4929
Clinton St & Lake St,casual,41.88551655318863,-87.64186691702889,4876
McClurg Ct & Erie St,casual,41.89450970562928,-87.61801633913502,4861
Daley Center Plaza,casual,41.88418968551376,-87.62959807992684,4818
Franklin St & Illinois St,casual,41.89099070118274,-87.63547193704973,4804
Greenview Ave & Fullerton Ave,casual,41.92537412124122,-87.66581981664876,4721
Ravenswood Ave & Lawrence Ave,casual,41.969105989652796,-87.67424577771489,4716
Burling St & Diversey Pkwy,casual,41.93312005434404,-87.64775473578597,4707
Sheridan Rd & Montrose Ave,casual,41.96162416940583,-87.65464053052408,4699
Michigan Ave & Madison St,casual,41.8820736444182,-87.62514021827937,4691
Clinton St & Jackson Blvd,casual,41.87834453342473,-87.64111695216344,4608
Bissell St & Armitage Ave*,casual,41.91838279468812,-87.65219660442433,4598
LaSalle Dr & Huron St,casual,41.89481544374347,-87.63231019849476,4584
Kimbark Ave & 53rd St,casual,41.79959600374025,-87.59475618817103,4553
Southport Ave & Belmont Ave,casual,41.93944395626441,-87.66377534535107,4549
Southport Ave & Wellington Ave,casual,41.935693935645155,-87.66362509589888,4526
Ritchie Ct & Banks St,casual,41.906860933394285,-87.62619515511628,4523
Honore St & Division St,casual,41.90312703581864,-87.67389132947037,4466
Wentworth Ave & Cermak Rd,casual,41.853128311679605,-87.6319268026351,4456
Michigan Ave & Ida B Wells Dr,casual,41.87622842725022,-87.62443353146492,4451
Milwaukee Ave & Wabansia Ave,casual,41.91261647560375,-87.6814021106632,4421
Peoria St & Jackson Blvd,casual,41.87766108833982,-87.64953602029018,4419
Larrabee St & Kingsbury St,casual,41.89770553259755,-87.64308123235047,4387
Clark St & Randolph St,casual,41.88459134976193,-87.63175725020791,4303
Shore Dr & 55th St,casual,41.79525236034918,-87.58079641165276,4259
Burnham Harbor,casual,41.857459382797174,-87.61383719717932,4247
Franklin St & Lake St,casual,41.88585267796455,-87.6355187311835,4239
Sheffield Ave & Kingsbury St,casual,41.910558671065964,-87.65314622774352,4165
Clark St & Chicago Ave,casual,41.89671380319946,-87.63086837250033,4147
Canal St & Madison St,casual,41.88221563598324,-87.63980356501855,4104
McCormick Place,casual,41.85141683529324,-87.61884349566078,4086
Clark St & Berwyn Ave,casual,41.97800459860448,-87.66831434153055,4036
Ellis Ave & 55th St,casual,41.794298364354084,-87.60144101540517,4022
Western Ave & Winnebago Ave,casual,41.915556389546985,-87.68702575778033,3992
Ogden Ave & Chicago Ave,casual,41.89636259547955,-87.6540735006515,3981
Stetson Ave & South Water St,casual,41.88672423275213,-87.62224323498988,3977
